result,horse_sex,jockey_weight,horse_win_value,horse_psf_rate,race_info,speed,horse_age_4,horse_age_5,horse_age_6,horse_age_7,horse_age_8,horse_age_9,horse_age_10,horse_age_11,race_type_Condition 2,race_type_Condition 3,race_type_Condition 4,race_type_Condition 5,race_type_Condition-6,race_type_Condition-7,race_type_Condition-8,race_type_Condition-9,race_type_G 3,race_type_Handicap 13,race_type_Handicap 14,race_type_Handicap 15,race_type_Handicap 16,race_type_Handicap 17,race_type_Handicap 21,race_type_Maiden,race_type_Sale 1,race_type_Sale 2,race_type_Sale 3,race_age_group_1,race_track_type_1,race_track_condition_Moist,race_track_condition_Muddy,race_track_condition_Wet
0.0,0,0.9333333333333333,0.006502302898943376,0.4235294117647059,2024-01-01_Bursa_7,0.7538785053540341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.1111111111111111,0,0.6666666666666666,0.03413709021945272,0.09411764705882353,2024-01-01_Bursa_7,0.7538309316382792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.2222222222222222,0,0.5333333333333333,0.02221620157138987,0.16470588235294117,2024-01-01_Bursa_7,0.7533672871890986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3333333333333333,1,0.5333333333333333,0.04172311026822,0.11764705882352941,2024-01-01_Bursa_7,0.7307169963466118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.4444444444444444,0,0.4,0.21863993497697104,0.011764705882352941,2024-01-01_Bursa_7,0.7304197520982987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.5555555555555556,0,0.6666666666666666,0.011108100785694934,0.3176470588235294,2024-01-01_Bursa_7,0.7193813884060413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.6666666666666666,1,0.5333333333333333,0.10566242210782986,0.03529411764705882,2024-01-01_Bursa_7,0.7193141067502371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.7777777777777778,0,0.6666666666666666,0.1866702790571661,0.011764705882352941,2024-01-01_Bursa_7,0.6757540880109432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.8888888888888888,1,0.3333333333333333,0.3245732863722569,0.0,2024-01-01_Bursa_7,0.6757333216513273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.0,1,0.3333333333333333,0.38146843673801145,0.011764705882352941,2024-01-01_Bursa_7,0.6165269427599083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0,1,0.4,0.013546464372798701,0.2,2024-01-01_Bursa_8,0.9282088700982921,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.25,1,0.4666666666666667,0.0021674342996477916,0.6588235294117647,2024-01-01_Bursa_8,0.927703949803978,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
