race_no,result,horse_age,horse_sex,jockey_weight,jockey_name,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
7,2,7y,m,56,HIŞMAN ÇİZİK,1.42.73,8.65,12,4,78
7,3,5y,m,56,GÖRKEM ÖZÇELİK,1.42.80,16.65,6,6,76
7,4,5y,m,56,HAKAN YILDIZ,1.42.91,11.45,7,5,93
7,5,8y,m,56,AKIN SÖZEN,1.42.97,2.9,23,2,90
7,6,9y,m,56,MEHMET KAYA,1.45.33,6.55,17,3,89
7,7,6y,m,52,GÖKTAN KAYIP,1.51.15,95.55,1,7,30
8,1,3y,m,58,MEHMET KAYA,1.28.66,1.45,53,1,0
8,2,3y,f,56,MUSTAFA ÇİÇEK,1.30.11,10.35,8,4,0
8,3,3y,m,58,HALİL KAPLAN,1.30.79,37.25,2,6,28
8,4,3y,m,58,AKIN SÖZEN,1.30.93,6.3,11,3,0
8,5,3y,m,58,MAHMUT TURAN,1.30.97,22.6,3,5,0
8,6,3y,m,58,GÖRKEM ÖZÇELİK,1.31.23,3.35,21,2,34
8,7,3y,m,54,BERKANT GÖKÇE,1.32.58,64.35,1,7,17
8,8,3y,m,54,ULAŞ KICI,1.34.36,132.9,1,8,16
9,1,4y,f,54,YUNUS EMRE YÜKSEL,1.44.78,8.65,9,5,41
9,2,4y,m,57,BERKANT GÖKÇE,1.44.86,2.7,28,1,45
9,3,4y,f,54,HIŞMAN ÇİZİK,1.46.79,2.5,22,2,40
9,4,4y,m,58,MUHAMMET ÖZDEMİR,1.47.60,4.7,17,3,51
9,5,4y,f,54,OĞUZ EREN,1.48.36,31.45,1,9,36
9,6,4y,m,58,MEHMET KAYA,1.48.56,11.95,10,4,38
9,7,4y,f,55,RECEP KETME,1.48.75,25.45,4,7,41
9,8,4y,m,54,ALİ MEHDİ ALTIN,1.50.22,25.65,3,6,33
9,9,4y,m,54,DENİZ BUDAK,1.52.20,25.65,2,6,31
9,10,4y,f,54,HALİL KAPLAN,2.03.95,24.3,2,8,38
